2025-12-08 16:09:31 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/config.json
2025-12-08 16:09:31 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 16:09:31 | INFO | Training iteration: 1/1
2025-12-08 18:26:12 | INFO | Epoch 011 | Iter 00800/1004 | Loss: 0.3400271 | Speed: 0.5451s/iter | ETA: 0h 38m
2025-12-08 18:27:10 | INFO | Epoch 011 | Iter 00900/1004 | Loss: 0.3727290 | Speed: 0.5799s/iter | ETA: 0h 39m
2025-12-08 18:28:13 | INFO | Epoch 011 | Iter 01000/1004 | Loss: 0.2363260 | Speed: 0.6276s/iter | ETA: 0h 42m
2025-12-08 18:31:22 | INFO | Epoch 011 | Train Loss: 0.3613611 | Vali Loss: 0.7702646 | Test Loss: 0.3866780 | MAE: 0.4099168 | Time: 593.10s | LR: 7.81e-07
2025-12-08 18:32:17 | INFO | Epoch 012 | Iter 00100/1004 | Loss: 0.3302042 | Speed: 2.4456s/iter | ETA: 2h 39m
2025-12-08 18:33:18 | INFO | Epoch 012 | Iter 00200/1004 | Loss: 0.2853279 | Speed: 0.6085s/iter | ETA: 0h 38m
2025-12-08 18:34:19 | INFO | Epoch 012 | Iter 00300/1004 | Loss: 0.3212393 | Speed: 0.6089s/iter | ETA: 0h 37m
2025-12-08 18:35:13 | INFO | Epoch 012 | Iter 00400/1004 | Loss: 0.2621652 | Speed: 0.5429s/iter | ETA: 0h 32m
2025-12-08 18:36:14 | INFO | Epoch 012 | Iter 00500/1004 | Loss: 0.3004417 | Speed: 0.6136s/iter | ETA: 0h 35m
2025-12-08 18:37:13 | INFO | Epoch 012 | Iter 00600/1004 | Loss: 0.3637761 | Speed: 0.5833s/iter | ETA: 0h 33m
2025-12-08 18:38:08 | INFO | Epoch 012 | Iter 00700/1004 | Loss: 0.4828894 | Speed: 0.5534s/iter | ETA: 0h 30m
2025-12-08 18:39:12 | INFO | Epoch 012 | Iter 00800/1004 | Loss: 0.3630976 | Speed: 0.6349s/iter | ETA: 0h 34m
2025-12-08 18:40:05 | INFO | Epoch 012 | Iter 00900/1004 | Loss: 0.2932545 | Speed: 0.5326s/iter | ETA: 0h 27m
2025-12-08 18:41:05 | INFO | Epoch 012 | Iter 01000/1004 | Loss: 0.3825579 | Speed: 0.6034s/iter | ETA: 0h 30m
2025-12-08 18:44:15 | INFO | Epoch 012 | Train Loss: 0.3606005 | Vali Loss: 0.7701301 | Test Loss: 0.3864369 | MAE: 0.4096907 | Time: 586.20s | LR: 3.91e-07
2025-12-08 18:45:16 | INFO | Epoch 013 | Iter 00100/1004 | Loss: 0.5120805 | Speed: 2.5060s/iter | ETA: 2h 1m
2025-12-08 18:46:10 | INFO | Epoch 013 | Iter 00200/1004 | Loss: 0.2781764 | Speed: 0.5415s/iter | ETA: 0h 25m
2025-12-08 18:47:14 | INFO | Epoch 013 | Iter 00300/1004 | Loss: 0.3574431 | Speed: 0.6369s/iter | ETA: 0h 28m
2025-12-08 18:48:13 | INFO | Epoch 013 | Iter 00400/1004 | Loss: 0.4243796 | Speed: 0.5917s/iter | ETA: 0h 25m
2025-12-08 18:49:07 | INFO | Epoch 013 | Iter 00500/1004 | Loss: 0.3275124 | Speed: 0.5432s/iter | ETA: 0h 22m
2025-12-08 18:50:09 | INFO | Epoch 013 | Iter 00600/1004 | Loss: 0.3603749 | Speed: 0.6168s/iter | ETA: 0h 24m
2025-12-08 18:51:04 | INFO | Epoch 013 | Iter 00700/1004 | Loss: 0.3820622 | Speed: 0.5550s/iter | ETA: 0h 21m
2025-12-08 18:52:00 | INFO | Epoch 013 | Iter 00800/1004 | Loss: 0.3245942 | Speed: 0.5600s/iter | ETA: 0h 20m
2025-12-08 18:53:01 | INFO | Epoch 013 | Iter 00900/1004 | Loss: 0.2905030 | Speed: 0.6086s/iter | ETA: 0h 21m
2025-12-08 18:53:56 | INFO | Epoch 013 | Iter 01000/1004 | Loss: 0.3080741 | Speed: 0.5453s/iter | ETA: 0h 18m
2025-12-08 18:57:01 | INFO | Epoch 013 | Train Loss: 0.3607966 | Vali Loss: 0.7703591 | Test Loss: 0.3864724 | MAE: 0.4096739 | Time: 581.93s | LR: 1.95e-07
2025-12-08 18:58:06 | INFO | Epoch 014 | Iter 00100/1004 | Loss: 0.4148208 | Speed: 2.5023s/iter | ETA: 1h 19m
2025-12-08 18:59:05 | INFO | Epoch 014 | Iter 00200/1004 | Loss: 0.3529454 | Speed: 0.5899s/iter | ETA: 0h 17m
2025-12-08 18:59:57 | INFO | Epoch 014 | Iter 00300/1004 | Loss: 0.3138312 | Speed: 0.5254s/iter | ETA: 0h 14m
2025-12-08 19:01:00 | INFO | Epoch 014 | Iter 00400/1004 | Loss: 0.3094721 | Speed: 0.6212s/iter | ETA: 0h 16m
2025-12-08 19:02:01 | INFO | Epoch 014 | Iter 00500/1004 | Loss: 0.4420149 | Speed: 0.6106s/iter | ETA: 0h 15m
2025-12-08 19:02:54 | INFO | Epoch 014 | Iter 00600/1004 | Loss: 0.2943658 | Speed: 0.5315s/iter | ETA: 0h 12m
2025-12-08 19:03:55 | INFO | Epoch 014 | Iter 00700/1004 | Loss: 0.3040099 | Speed: 0.6094s/iter | ETA: 0h 13m
2025-12-08 19:04:54 | INFO | Epoch 014 | Iter 00800/1004 | Loss: 0.3076904 | Speed: 0.5954s/iter | ETA: 0h 11m
